MOHICANO       ;;ESTADO DE PERDIDA Y GANANCIA ACUMULADO PERIODO 2026;
;
;LIN;ESTADO DE RESULTADO;ENERO     ;FEBRERO   ;MARZO     ;ABRIL     ;MAYO      ;JUNIO     ;JULIO     ;AGOSTO    ;SEPTIEMBRE;OCTUBRE   ;NOVIEMBRE ;DICIEMBRE ;ACUMULADO
;CUENTA;NOMBRE DE LA CUENTA;
;
;13;INGRESOS FUERA DE EXPLOTACION           ;15666626;15359104;8322605;97288968;14969818;1827771;0;0;0;0;0;0;153434892
;410106   ;OTRAS VENTAS                            ;0;0;0;-40885872;0;0;0;0;0;0;0;0;
;420104   ;Otros ingresos no operacionales         ;-15666626;-15359104;-8322605;-56403096;-14969818;-1827771;0;0;0;0;0;0;

;14;EGRESOS FUERA DE EXPLOTACION            ;2408;4865;2068;1609;600;4;0;0;0;0;0;0;11554
;530304   ;Otros Egresos                           ;2408;4865;2068;1609;600;4;0;0;0;0;0;0;

;
;15;RESULTADO NO OPERACIONAL                ;15473611;15248810;7465687;96994419;15185307;1813137;0;0;0;0;0;0;152180971

;
;16;RESULTADO ANTES CORRECCION MONETARIA    ;-181522998;49418009;73983449;90879944;-9525597;-1149349;0;0;0;0;0;0;22083458

;17;CORRECCION MONETARIA                    ;0;0;0;0;0;0;0;0;0;0;0;0;0

;
;18;UTILIDADES ANTES DE IMPUESTOS           ;-181522998;49418009;73983449;90879944;-9525597;-1149349;0;0;0;0;0;0;22083458

;19;IMPUESTOS RENTA 1ra. CATEGORIA          ;0;0;0;0;0;0;0;0;0;0;0;0;0

;
;20;UTILIDAD / PERDIDA DEL EJERCICIO        ;-181522998;49418009;73983449;90879944;-9525597;-1149349;0;0;0;0;0;0;22083458

